date,price,source
2019-11-09,1.0084270238876343,Yahoo Finance
2019-11-10,0.9967190027236938,Yahoo Finance
2019-11-11,0.997527003288269,Yahoo Finance
2019-11-12,1.0058449506759644,Yahoo Finance
2019-11-13,1.0542540550231934,Yahoo Finance
2019-11-14,1.0136710405349731,Yahoo Finance
2019-11-15,1.0171029567718506,Yahoo Finance
2019-11-16,1.014477014541626,Yahoo Finance
2019-11-17,0.999364972114563,Yahoo Finance
2019-11-18,1.0125410556793213,Yahoo Finance
2019-11-19,1.0061639547348022,Yahoo Finance
2019-11-20,0.999638020992279,Yahoo Finance
2019-11-21,1.001343011856079,Yahoo Finance
2019-11-22,1.0031989812850952,Yahoo Finance
2019-11-23,1.008347988128662,Yahoo Finance
2019-11-24,1.0047179460525513,Yahoo Finance
2019-11-25,0.9914739727973938,Yahoo Finance
2019-11-26,1.0012129545211792,Yahoo Finance
2019-11-27,0.9979910254478455,Yahoo Finance
2019-11-28,0.994504988193512,Yahoo Finance
2019-11-29,0.9969519972801208,Yahoo Finance
2019-11-30,0.9966480135917664,Yahoo Finance
2019-12-01,0.9971380233764648,Yahoo Finance
2019-12-02,0.9942209720611572,Yahoo Finance
2019-12-03,0.9947789907455444,Yahoo Finance
2019-12-04,1.0034610033035278,Yahoo Finance
2019-12-05,1.0055700540542603,Yahoo Finance
2019-12-06,1.0036799907684326,Yahoo Finance
2019-12-07,1.0147819519042969,Yahoo Finance
2019-12-08,1.0005860328674316,Yahoo Finance
2019-12-09,1.0062370300292969,Yahoo Finance
2019-12-10,1.0120450258255005,Yahoo Finance
2019-12-11,1.007174015045166,Yahoo Finance
2019-12-12,1.0084819793701172,Yahoo Finance
2019-12-13,1.0033930540084839,Yahoo Finance
2019-12-14,1.0079870223999023,Yahoo Finance
2019-12-15,1.004472017288208,Yahoo Finance
2019-12-16,1.0035120248794556,Yahoo Finance
2019-12-17,0.9948269724845886,Yahoo Finance
2019-12-18,1.0024739503860474,Yahoo Finance
2019-12-19,1.0045380592346191,Yahoo Finance
2019-12-20,1.005213975906372,Yahoo Finance
2019-12-21,1.0112190246582031,Yahoo Finance
2019-12-22,0.9998369812965393,Yahoo Finance
2019-12-23,1.006701946258545,Yahoo Finance
2019-12-24,1.0120140314102173,Yahoo Finance
2019-12-25,1.0175509452819824,Yahoo Finance
2019-12-26,0.990818977355957,Yahoo Finance
2019-12-27,1.0071799755096436,Yahoo Finance
2019-12-28,0.9958630204200745,Yahoo Finance
2019-12-29,1.0021530389785767,Yahoo Finance
2019-12-30,1.006397008895874,Yahoo Finance
2019-12-31,1.0055210590362549,Yahoo Finance
2020-01-01,1.0120799541473389,Yahoo Finance
2020-01-02,1.0046800374984741,Yahoo Finance
2020-01-03,1.0106350183486938,Yahoo Finance
2020-01-04,1.0115300416946411,Yahoo Finance
2020-01-05,1.005972981452942,Yahoo Finance
2020-01-06,0.9989799857139587,Yahoo Finance
2020-01-07,0.9996960163116455,Yahoo Finance
2020-01-08,1.0071280002593994,Yahoo Finance
2020-01-09,1.0071120262145996,Yahoo Finance
2020-01-10,0.999305009841919,Yahoo Finance
2020-01-11,1.0013560056686401,Yahoo Finance
2020-01-12,1.0024559497833252,Yahoo Finance
2020-01-13,1.0046240091323853,Yahoo Finance
2020-01-14,1.0007070302963257,Yahoo Finance
2020-01-15,0.9997450113296509,Yahoo Finance
2020-01-16,1.0006829500198364,Yahoo Finance
2020-01-17,1.000072956085205,Yahoo Finance
2020-01-18,0.9995250105857849,Yahoo Finance
2020-01-19,0.9999920129776001,Yahoo Finance
2020-01-20,0.9990410208702087,Yahoo Finance
2020-01-21,1.0007940530776978,Yahoo Finance
2020-01-22,1.0019010305404663,Yahoo Finance
2020-01-23,1.006701946258545,Yahoo Finance
2020-01-24,1.02162504196167,Yahoo Finance
2020-01-25,1.0015770196914673,Yahoo Finance
2020-01-26,1.0027650594711304,Yahoo Finance
2020-01-27,0.9993069767951965,Yahoo Finance
2020-01-28,0.9980649948120117,Yahoo Finance
2020-01-29,1.0007380247116089,Yahoo Finance
2020-01-30,1.0038269758224487,Yahoo Finance
2020-01-31,1.0011980533599854,Yahoo Finance
2020-02-01,1.0015809535980225,Yahoo Finance
2020-02-02,1.001431941986084,Yahoo Finance
2020-02-03,1.0029109716415405,Yahoo Finance
2020-02-04,1.0023030042648315,Yahoo Finance
2020-02-05,1.0003060102462769,Yahoo Finance
2020-02-06,0.9970740079879761,Yahoo Finance
2020-02-07,0.9989969730377197,Yahoo Finance
2020-02-08,0.994500994682312,Yahoo Finance
2020-02-09,0.9976909756660461,Yahoo Finance
2020-02-10,0.9977440237998962,Yahoo Finance
2020-02-11,1.0001389980316162,Yahoo Finance
2020-02-12,1.0145039558410645,Yahoo Finance
2020-02-13,1.0045620203018188,Yahoo Finance
2020-02-14,1.002892017364502,Yahoo Finance
2020-02-15,1.0011850595474243,Yahoo Finance
2020-02-16,0.9991970062255859,Yahoo Finance
2020-02-17,1.0055969953536987,Yahoo Finance
2020-02-18,1.0069689750671387,Yahoo Finance
2020-02-19,1.0033320188522339,Yahoo Finance
2020-02-20,0.9980980157852173,Yahoo Finance
2020-02-21,0.9538329839706421,Yahoo Finance
2020-02-22,0.9617859721183777,Yahoo Finance
2020-02-23,0.969763994216919,Yahoo Finance
2020-02-24,0.9538829922676086,Yahoo Finance
2020-02-25,0.9398170113563538,Yahoo Finance
2020-02-26,0.8738219738006592,Yahoo Finance
2020-02-27,0.9076539874076843,Yahoo Finance
2020-02-28,0.9474719762802124,Yahoo Finance
2020-02-29,0.9331949949264526,Yahoo Finance
2020-03-01,0.9473890066146851,Yahoo Finance
2020-03-02,0.9245889782905579,Yahoo Finance
2020-03-03,0.9118099808692932,Yahoo Finance
2020-03-04,0.9829450249671936,Yahoo Finance
2020-03-05,0.9773610234260559,Yahoo Finance
2020-03-06,0.9234139919281006,Yahoo Finance
2020-03-07,0.9211440086364746,Yahoo Finance
2020-03-08,0.9049729704856873,Yahoo Finance
2020-03-09,0.9244530200958252,Yahoo Finance
2020-03-10,0.8774020075798035,Yahoo Finance
2020-03-11,0.8934890031814575,Yahoo Finance
2020-03-12,0.8311700224876404,Yahoo Finance
2020-03-13,0.994396984577179,Yahoo Finance
2020-03-14,0.9855949878692627,Yahoo Finance
2020-03-15,0.98649001121521,Yahoo Finance
2020-03-16,0.9831159710884094,Yahoo Finance
2020-03-17,0.9649440050125122,Yahoo Finance
2020-03-18,0.9504150152206421,Yahoo Finance
2020-03-19,0.5442320108413696,Yahoo Finance
2020-03-20,0.9688060283660889,Yahoo Finance
2020-03-21,0.9804250001907349,Yahoo Finance
2020-03-22,0.9541829824447632,Yahoo Finance
2020-03-23,0.9648740291595459,Yahoo Finance
2020-03-24,0.9716249704360962,Yahoo Finance
2020-03-25,0.9787759780883789,Yahoo Finance
2020-03-26,0.9658960103988647,Yahoo Finance
2020-03-27,0.9682419896125793,Yahoo Finance
2020-03-28,0.9830930233001709,Yahoo Finance
2020-03-29,0.9800710082054138,Yahoo Finance
2020-03-30,0.9842929840087891,Yahoo Finance
2020-03-31,0.9699289798736572,Yahoo Finance
2020-04-01,0.9651129841804504,Yahoo Finance
2020-04-02,0.9855800271034241,Yahoo Finance
2020-04-03,0.96806401014328,Yahoo Finance
2020-04-04,0.9688370227813721,Yahoo Finance
2020-04-05,0.7781140208244324,Yahoo Finance
2020-04-06,0.9326789975166321,Yahoo Finance
2020-04-07,0.9700130224227905,Yahoo Finance
2020-04-08,0.7094659805297852,Yahoo Finance
2020-04-09,0.8717799782752991,Yahoo Finance
2020-04-10,0.9751229882240295,Yahoo Finance
2020-04-11,0.9611290097236633,Yahoo Finance
2020-04-12,0.9764900207519531,Yahoo Finance
2020-04-13,0.9694610238075256,Yahoo Finance
2020-04-14,0.9747260212898254,Yahoo Finance
2020-04-15,0.9703119993209839,Yahoo Finance
2020-04-16,0.9747170209884644,Yahoo Finance
2020-04-17,0.9745690226554871,Yahoo Finance
2020-04-18,0.9736199975013733,Yahoo Finance
2020-04-19,0.9821310043334961,Yahoo Finance
2020-04-20,0.9883610010147095,Yahoo Finance
2020-04-21,0.978888988494873,Yahoo Finance
2020-04-22,0.9615370035171509,Yahoo Finance
2020-04-23,0.9632539749145508,Yahoo Finance
2020-04-24,0.9670199751853943,Yahoo Finance
2020-04-25,0.9637359976768494,Yahoo Finance
2020-04-26,0.9527919888496399,Yahoo Finance
2020-04-27,0.953840970993042,Yahoo Finance
2020-04-28,0.9730389714241028,Yahoo Finance
2020-04-29,0.9454460144042969,Yahoo Finance
2020-04-30,0.9533339738845825,Yahoo Finance
2020-05-01,0.9546369910240173,Yahoo Finance
2020-05-02,0.9792069792747498,Yahoo Finance
2020-05-03,0.8227400183677673,Yahoo Finance
2020-05-04,0.8182700276374817,Yahoo Finance
2020-05-05,0.7655969858169556,Yahoo Finance
2020-05-06,0.7985029816627502,Yahoo Finance
2020-05-07,0.7504109740257263,Yahoo Finance
2020-05-08,0.9722219705581665,Yahoo Finance
2020-05-09,0.8335719704627991,Yahoo Finance
2020-05-10,0.9846540093421936,Yahoo Finance
2020-05-11,0.9781950116157532,Yahoo Finance
2020-05-12,0.9891660213470459,Yahoo Finance
2020-05-13,0.9466080069541931,Yahoo Finance
2020-05-14,0.9621059894561768,Yahoo Finance
2020-05-15,0.9714120030403137,Yahoo Finance
2020-05-16,0.9483590126037598,Yahoo Finance
2020-05-17,0.954820990562439,Yahoo Finance
2020-05-18,0.9609609842300415,Yahoo Finance
2020-05-19,0.9702010154724121,Yahoo Finance
2020-05-20,0.9874140024185181,Yahoo Finance
2020-05-21,0.9788479804992676,Yahoo Finance
2020-05-22,0.9855160117149353,Yahoo Finance
2020-05-23,0.9874359965324402,Yahoo Finance
2020-05-24,0.9937840104103088,Yahoo Finance
2020-05-25,0.9689319729804993,Yahoo Finance
2020-05-26,0.9773070216178894,Yahoo Finance
2020-05-27,0.9956099987030029,Yahoo Finance
2020-05-28,1.045606017112732,Yahoo Finance
2020-05-29,0.9971439838409424,Yahoo Finance
2020-05-30,1.0004019737243652,Yahoo Finance
2020-05-31,0.9766910076141357,Yahoo Finance
2020-06-01,0.9913849830627441,Yahoo Finance
2020-06-02,0.9889940023422241,Yahoo Finance
2020-06-03,1.002351999282837,Yahoo Finance
2020-06-04,0.9883210062980652,Yahoo Finance
2020-06-05,0.9965850114822388,Yahoo Finance
2020-06-06,1.0427800416946411,Yahoo Finance
2020-06-07,1.0085810422897339,Yahoo Finance
2020-06-08,1.0028610229492188,Yahoo Finance
2020-06-09,1.002297043800354,Yahoo Finance
2020-06-10,0.9978129863739014,Yahoo Finance
2020-06-11,0.9980940222740173,Yahoo Finance
2020-06-12,0.9926919937133789,Yahoo Finance
2020-06-13,1.000599980354309,Yahoo Finance
2020-06-14,0.9904230237007141,Yahoo Finance
2020-06-15,1.0616710186004639,Yahoo Finance
2020-06-16,1.0886969566345215,Yahoo Finance
2020-06-17,0.9929239749908447,Yahoo Finance
2020-06-18,0.993664026260376,Yahoo Finance
2020-06-19,0.9952769875526428,Yahoo Finance
2020-06-20,1.0122270584106445,Yahoo Finance
2020-06-21,1.0047099590301514,Yahoo Finance
2020-06-22,0.9957699775695801,Yahoo Finance
2020-06-23,1.0011229515075684,Yahoo Finance
2020-06-24,0.9918479919433594,Yahoo Finance
2020-06-25,1.0120489597320557,Yahoo Finance
2020-06-26,0.9801340103149414,Yahoo Finance
2020-06-27,0.9730790257453918,Yahoo Finance
2020-06-28,1.052122950553894,Yahoo Finance
2020-06-29,1.0525380373001099,Yahoo Finance
2020-06-30,1.079740047454834,Yahoo Finance
2020-07-01,1.0344840288162231,Yahoo Finance
2020-07-02,1.000722050666809,Yahoo Finance
2020-07-03,1.0093690156936646,Yahoo Finance
2020-07-04,0.9843180179595947,Yahoo Finance
2020-07-05,1.0087440013885498,Yahoo Finance
2020-07-06,0.9803360104560852,Yahoo Finance
2020-07-07,1.036728024482727,Yahoo Finance
2020-07-08,0.9934070110321045,Yahoo Finance
2020-07-09,0.9904299974441528,Yahoo Finance
2020-07-10,0.9754539728164673,Yahoo Finance
2020-07-11,0.9631789922714233,Yahoo Finance
2020-07-12,0.9378920197486877,Yahoo Finance
2020-07-13,0.9974709749221802,Yahoo Finance
2020-07-14,0.9713659882545471,Yahoo Finance
2020-07-15,0.9826359748840332,Yahoo Finance
2020-07-16,1.0127439498901367,Yahoo Finance
2020-07-17,0.9901880025863647,Yahoo Finance
2020-07-18,1.0467040538787842,Yahoo Finance
2020-07-19,1.0099769830703735,Yahoo Finance
2020-07-20,0.9748669862747192,Yahoo Finance
2020-07-21,1.0319880247116089,Yahoo Finance
2020-07-22,1.0221819877624512,Yahoo Finance
2020-07-23,1.0124739408493042,Yahoo Finance
2020-07-24,1.0027190446853638,Yahoo Finance
2020-07-25,1.0324050188064575,Yahoo Finance
2020-07-26,1.0989019870758057,Yahoo Finance
2020-07-27,1.1094169616699219,Yahoo Finance
2020-07-28,1.1860560178756714,Yahoo Finance
2020-07-29,1.0390939712524414,Yahoo Finance
2020-07-30,1.0352250337600708,Yahoo Finance
2020-07-31,1.0619709491729736,Yahoo Finance
2020-08-01,1.106152057647705,Yahoo Finance
2020-08-02,0.9818900227546692,Yahoo Finance
2020-08-03,1.0727269649505615,Yahoo Finance
2020-08-04,0.9857699871063232,Yahoo Finance
2020-08-05,1.0792419910430908,Yahoo Finance
2020-08-06,1.0247559547424316,Yahoo Finance
2020-08-07,1.003290057182312,Yahoo Finance
2020-08-08,0.9886549711227417,Yahoo Finance
2020-08-09,1.0286489725112915,Yahoo Finance
2020-08-10,1.0378999710083008,Yahoo Finance
2020-08-11,1.0243359804153442,Yahoo Finance
2020-08-12,1.0344589948654175,Yahoo Finance
2020-08-13,1.044293999671936,Yahoo Finance
2020-08-14,1.1218600273132324,Yahoo Finance
2020-08-15,1.0714939832687378,Yahoo Finance
2020-08-16,1.0439640283584595,Yahoo Finance
2020-08-17,1.0504850149154663,Yahoo Finance
2020-08-18,1.0596319437026978,Yahoo Finance
2020-08-19,1.0004199743270874,Yahoo Finance
